run_name,group,n,degraded_rate,bad_agent_mean,family_div,major_div,homogeneity,all_same_rate,vote_acc
P4_same_definition_qwen25_7b_seed42,normal,45,0.0,0.0,0.5392899612074571,0.5325938543015608,0.6787642447275906,0.06666666666666667,0.6888888888888889
P4_same_definition_qwen25_7b_seed42,degraded,55,1.0,2.4363636363636365,0.4558123061995037,0.2367873258530611,0.71393909196943,0.01818181818181818,0.7636363636363637
P4_same_definition_qwen25_7b_seed42,all,100,0.55,1.34,0.4933772509530827,0.369900263654886,0.6981104107106023,0.04,0.73
P4_same_elimination_qwen25_7b_seed42,normal,32,0.0,0.0,0.5262222099833174,0.46182483955787057,0.637218905174192,0.03125,0.6875
P4_same_elimination_qwen25_7b_seed42,degraded,68,1.0,2.1323529411764706,0.42362894018135666,0.20187900720950966,0.7703015700635062,0.0,0.8088235294117647
P4_same_elimination_qwen25_7b_seed42,all,100,0.68,1.45,0.4564587865179841,0.28506167356098516,0.7277151172989257,0.01,0.77
P4_same_definition_gpt4omini_seed42,normal,100,0.0,0.0,0.47218855953089894,0.32047053915045465,0.7896072479403202,0.12,0.87
P4_same_definition_gpt4omini_seed42,degraded,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4_same_definition_gpt4omini_seed42,all,100,0.0,0.0,0.47218855953089894,0.32047053915045465,0.7896072479403202,0.12,0.87
P4_same_elimination_gpt4omini_seed42,normal,100,0.0,0.0,0.42098303480986515,0.3485819772032249,0.7617851963519202,0.13,0.84
P4_same_elimination_gpt4omini_seed42,degraded,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4_same_elimination_gpt4omini_seed42,all,100,0.0,0.0,0.42098303480986515,0.3485819772032249,0.7617851963519202,0.13,0.84
P4_same_definition_deepseek_chat_seed42,normal,99,0.0,0.0,0.48124336320612954,0.6440917039191613,0.5340013589588987,0.10101010101010101,0.9090909090909091
P4_same_definition_deepseek_chat_seed42,degraded,1,1.0,1.0,0.42772540528006536,0.0,0.8387842813611494,0.0,1.0
P4_same_definition_deepseek_chat_seed42,all,100,0.01,0.01,0.48070818362686885,0.6376507868799696,0.5370491881829212,0.1,0.91
P4_same_elimination_deepseek_chat_seed42,normal,99,0.0,0.0,0.4762158857845646,0.4865712051222104,0.6924240352405595,0.15151515151515152,0.898989898989899
P4_same_elimination_deepseek_chat_seed42,degraded,1,1.0,1.0,0.7134804071359583,0.7219280948873623,0.6,0.0,1.0
P4_same_elimination_deepseek_chat_seed42,all,100,0.01,0.01,0.4785885309980785,0.488924774019862,0.6914997948881539,0.15,0.9
P4_same_definition_gemini_flash_lite_seed42,normal,75,0.0,0.0,0.4326996099314464,0.36066771118495106,0.7834788192742212,0.16,0.88
P4_same_definition_gemini_flash_lite_seed42,degraded,25,1.0,3.4,0.5411166783982179,0.5330008440973978,0.7107535218816152,0.16,0.72
P4_same_definition_gemini_flash_lite_seed42,all,100,0.25,0.85,0.4598038770481393,0.4037509944130628,0.7652974949260697,0.16,0.84
P4_same_elimination_gemini_flash_lite_seed42,normal,74,0.0,0.0,0.34885782230027534,0.22299330379222804,0.8724888310800354,0.16216216216216217,0.8513513513513513
P4_same_elimination_gemini_flash_lite_seed42,degraded,26,1.0,3.769230769230769,0.5587482080128148,0.5388195018362079,0.6919827138998259,0.11538461538461539,0.6538461538461539
P4_same_elimination_gemini_flash_lite_seed42,all,100,0.26,0.98,0.4034293225855356,0.3051081152836628,0.825557240613181,0.15,0.8
