accuracy,agent_id,minority_rescue_count,minority_rescue_share,setting_seed,task,unique_correct_count
0.45,0,1,1.0,shared_legacy_coverage_useful_tcs_strict_seed42,disambiguation_qa,1
0.35,1,0,0.0,shared_legacy_coverage_useful_tcs_strict_seed42,disambiguation_qa,0
0.35,2,0,0.0,shared_legacy_coverage_useful_tcs_strict_seed42,disambiguation_qa,0
0.35,3,0,0.0,shared_legacy_coverage_useful_tcs_strict_seed42,disambiguation_qa,0
0.4,4,0,0.0,shared_legacy_coverage_useful_tcs_strict_seed42,disambiguation_qa,0
0.4,0,0,0.0,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,0
0.35,1,0,0.0,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,0
0.4,2,0,0.0,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,0
0.5,3,1,1.0,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,1
0.35,4,0,0.0,shared_vote_error_pareto_tcs_residual_cycle_guard_seed42,disambiguation_qa,0
0.35,0,0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,disambiguation_qa,0
0.35,1,1,0.3333333333333333,shared_vote_tcs_competence_depth2_progressive_residual_seed42,disambiguation_qa,0
0.3,2,0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,disambiguation_qa,0
0.4,3,2,0.6666666666666666,shared_vote_tcs_competence_depth2_progressive_residual_seed42,disambiguation_qa,1
0.3,4,0,0.0,shared_vote_tcs_competence_depth2_progressive_residual_seed42,disambiguation_qa,0
0.35,0,1,0.3333333333333333,shared_vote_tcs_competence_depth2_seed42,disambiguation_qa,0
0.35,1,0,0.0,shared_vote_tcs_competence_depth2_seed42,disambiguation_qa,0
0.4,2,0,0.0,shared_vote_tcs_competence_depth2_seed42,disambiguation_qa,0
0.4,3,2,0.6666666666666666,shared_vote_tcs_competence_depth2_seed42,disambiguation_qa,1
0.3,4,0,0.0,shared_vote_tcs_competence_depth2_seed42,disambiguation_qa,0
0.35,0,1,0.25,shared_vote_tcs_competence_schedule_seed42,disambiguation_qa,0
0.4,1,1,0.25,shared_vote_tcs_competence_schedule_seed42,disambiguation_qa,0
0.4,2,1,0.25,shared_vote_tcs_competence_schedule_seed42,disambiguation_qa,0
0.35,3,0,0.0,shared_vote_tcs_competence_schedule_seed42,disambiguation_qa,0
0.35,4,1,0.25,shared_vote_tcs_competence_schedule_seed42,disambiguation_qa,0
